0.0672825,0.00849179,0.0722425,0.00916317,0.0755703,0.00957031,0.0627703,0.00792433,1.06126,0.143009,0.0730103,0.00926711,0.0682425,0.00860007,1.06299,0.143264,0.0623065,0.00788321,0.0623383,0.0078442,0.0720025,0.00919566,0.0667625,0.00835643,0.0666585,0.00842898,0.0724825,0.00913069,0.0686503,0.00863362,0.0656663,0.00833799,0.0674023,0.00857298,0.0792025,0.0100186,0.0777383,0.00984212,0.0743945,0.00945447,0.0689063,0.00864662,0.0691783,0.00881338,0.0692103,0.00875274,0.0742105,0.00936459,0.0665445,0.00834858,0.0698025,0.00874626,0.0700423,0.00882204,0.0708345,0.0090159,0.0677545,0.0085625,1.05882,0.1427,
0.112725,0.0144234,0.114165,0.0146833,0.121013,0.015502,0.105653,0.0134878,1.10702,0.149027,0.113973,0.0147006,0.112085,0.0144018,1.10779,0.149044,0.107109,0.0136632,0.103301,0.0131478,0.115525,0.0148674,0.108365,0.0138982,0.113381,0.0145122,0.116645,0.0150407,0.111853,0.0143054,0.111109,0.0142047,0.110605,0.0141798,0.123685,0.0159286,0.123501,0.0159037,0.120477,0.0154727,0.114349,0.0147515,0.112061,0.0143119,0.113373,0.0145111,0.117093,0.014993,0.109747,0.0141286,0.111085,0.0142448,0.114845,0.0147104,0.112437,0.0144061,0.111277,0.0141909,1.10138,0.148199,
0.160407,0.0206799,0.156407,0.0201818,0.167735,0.0216502,0.148855,0.0191162,1.1515,0.154937,0.156215,0.0201774,0.155607,0.0201385,1.15419,0.155257,0.149671,0.019205,0.149063,0.0191444,0.160007,0.0207557,0.155087,0.0199815,0.156903,0.0202056,0.163687,0.0211239,0.155375,0.0199988,0.154311,0.0199414,0.156687,0.0203063,0.168487,0.0218603,0.162543,0.0210773,0.165599,0.0214693,0.161711,0.0208348,0.157823,0.0203735,0.158495,0.0205077,0.159335,0.0206648,0.153909,0.0198437,0.154607,0.0199815,0.156447,0.0202738,0.157239,0.0202728,0.157359,0.0202309,1.14554,0.153979,
0.196889,0.025572,0.198009,0.0256153,0.209977,0.0272353,0.195257,0.0251995,1.19407,0.160522,0.200697,0.0260441,0.197529,0.0256153,1.19707,0.160799,0.193833,0.0251367,0.191305,0.0247078,0.200329,0.0259943,0.199569,0.0258915,0.201385,0.0261373,0.208169,0.0269689,0.198897,0.0257138,0.198153,0.0255915,0.201809,0.0260863,0.213289,0.0277486,0.205425,0.0266408,0.207201,0.0269029,0.203953,0.0264848,0.201665,0.0260669,0.203937,0.0263961,0.203817,0.0264448,0.197431,0.0255587,0.197169,0.0255882,0.200609,0.0260539,0.198841,0.0257496,0.201201,0.0260542,1.19035,0.159975,
0.240092,0.0310921,0.242492,0.0314603,0.2551,0.0331453,0.24102,0.0312394,1.23887,0.166324,0.24582,0.0319974,0.243932,0.0316552,1.23932,0.166363,0.235116,0.0304403,0.230348,0.0299248,0.244812,0.031796,0.240852,0.031325,0.244268,0.031809,0.252012,0.0328572,0.24466,0.0317538,0.237516,0.0308734,0.242452,0.0314765,0.255852,0.0333554,0.250548,0.0326157,0.248484,0.0322281,0.247156,0.03207,0.245828,0.0318686,0.24874,0.0322844,0.24574,0.0319649,0.244794,0.0317719,0.239092,0.0310434,0.243812,0.0316606,0.240124,0.0311831,0.243444,0.0316826,1.23387,0.165604,
0.277534,0.0361609,0.280894,0.0366157,0.295102,0.0384306,0.277502,0.0361133,1.27535,0.171176,0.283582,0.0369146,0.280094,0.0364425,1.27548,0.171193,0.271278,0.0352708,0.26971,0.0350152,0.280334,0.0364966,0.278294,0.0362638,0.28267,0.0367262,0.288814,0.0376661,0.283062,0.0368226,0.272398,0.0354657,0.278934,0.0362638,0.296814,0.0386624,0.28863,0.0376412,0.287206,0.0373402,0.285558,0.0370954,0.28295,0.0368724,0.286502,0.0372232,0.284782,0.0369904,0.282556,0.0366891,0.276534,0.0360039,0.282854,0.0368161,0.277886,0.0362086,0.281526,0.0365565,1.27323,0.170759,
0.318816,0.0415728,0.325376,0.0424174,0.340224,0.0443623,0.321664,0.0419583,1.31791,0.176674,0.329664,0.0429329,0.328096,0.042764,1.31996,0.177017,0.31384,0.0408559,0.313872,0.040752,0.320976,0.0418652,0.319256,0.0415457,0.327152,0.0425496,0.330736,0.0430997,0.322744,0.0420612,0.31336,0.0407043,0.326616,0.042477,0.340016,0.0444208,0.333112,0.0434429,0.329448,0.0429903,0.331,0.0431787,0.325192,0.0423492,0.333224,0.0433714,0.332464,0.0433552,0.327678,0.042729,0.322296,0.0420438,0.328616,0.0427694,0.321728,0.041837,0.329848,0.042943,1.31867,0.176734,
0.363298,0.0473745,0.366978,0.047786,0.381506,0.0497741,0.365826,0.04763,1.36271,0.182584,0.374146,0.0487779,0.372578,0.0485223,1.3654,0.182883,0.356082,0.0464194,0.359314,0.0468569,0.361938,0.0471471,0.364698,0.047564,0.369394,0.048243,0.377458,0.0491829,0.366906,0.0478412,0.354002,0.0461378,0.369498,0.048192,0.379698,0.0495727,0.373434,0.0487465,0.37201,0.0485971,0.373242,0.0487205,0.368394,0.0479776,0.376426,0.0490865,0.378226,0.0492869,0.3712,0.0483358,0.361978,0.0471742,0.370218,0.0483328,0.36557,0.0475737,0.37529,0.0489829,1.35963,0.182254,
0.409061,0.0533278,0.411141,0.0537176,0.422469,0.055186,0.407109,0.0531069,1.40528,0.188191,0.417029,0.0545146,0.413541,0.0539342,1.4086,0.188555,0.399285,0.0520262,0.405077,0.0527668,0.403861,0.0527322,0.408221,0.0532574,0.413877,0.0540447,0.419381,0.0547464,0.411709,0.0536862,0.400085,0.0520911,0.413661,0.0539071,0.426741,0.0557859,0.417917,0.0546131,0.413293,0.0539656,0.420285,0.0548254,0.409997,0.0535411,0.419949,0.0548665,0.421429,0.0550236,0.414723,0.0541375,0.406781,0.0530841,0.410221,0.0535281,0.406853,0.0530939,0.421373,0.0550661,1.40284,0.187904,
0.452583,0.0590428,0.449863,0.0587613,0.465991,0.060901,0.450951,0.0588652,1.44848,0.193841,0.458631,0.0599481,0.456423,0.0595626,1.45277,0.194357,0.441847,0.0576763,0.445719,0.058222,0.449303,0.0586638,0.448863,0.0586259,0.460599,0.0601062,0.460663,0.0601149,0.456831,0.0596828,0.443607,0.0578712,0.456543,0.0596438,0.468023,0.0612194,0.461759,0.0603932,0.456495,0.0595507,0.463807,0.0605621,0.454799,0.0592995,0.465071,0.0606899,0.461431,0.0603488,0.456645,0.0596793,0.449663,0.0587342,0.453423,0.0592648,0.444935,0.0581159,0.464895,0.0606729,1.44732,0.193771,
