37.084,0.204178
74.15,0.399811
111.216,0.595445
148.282,0.791078
203.693,0.995454
240.759,1.19109
277.825,1.38672
314.891,1.58235
370.302,1.78673
407.368,1.98236
444.434,2.178
481.497,2.37242
518.563,2.56805
573.974,2.77243
611.04,2.96806
648.106,3.1637
685.172,3.35933
740.583,3.5637
777.649,3.75934
814.714,3.95497
851.78,4.1506
888.846,4.34624
944.257,4.55061
981.323,4.74625
1018.39,4.94067
1055.45,5.1363
1110.86,5.34068
1147.93,5.53631
1185,5.73195
1222.06,5.92758
1277.47,6.13195
1314.54,6.32759
1351.6,6.52322
1388.67,6.71886
1425.74,6.91449
1481.15,7.11886
1518.21,7.3145
1555.28,7.50892
1592.34,7.70455
1647.75,7.90893
